attempt=2
returncode=0
elapsed_sec=20.80

STDOUT:
Epoch: 107, Loss: 0.1475, Val F1: 0.7273, Val Acc: 0.7857, Val Prec: 0.7500, Val Rec: 0.7059
Epoch: 108, Loss: 0.0558, Val F1: 0.7273, Val Acc: 0.7857, Val Prec: 0.7500, Val Rec: 0.7059
Epoch: 109, Loss: 0.0526, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 110, Loss: 0.0439, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 111, Loss: 0.0425, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 112, Loss: 0.0566, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 113, Loss: 0.0542, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 114, Loss: 0.0691, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 115, Loss: 0.0429, Val F1: 0.6207, Val Acc: 0.7381, Val Prec: 0.7500, Val Rec: 0.5294
Epoch: 116, Loss: 0.0726, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 117, Loss: 0.0477, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 118, Loss: 0.0488, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 119, Loss: 0.0465, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 120, Loss: 0.0564, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 121, Loss: 0.0477, Val F1: 0.6667, Val Acc: 0.7143, Val Prec: 0.6316, Val Rec: 0.7059
Epoch: 122, Loss: 0.0602, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 123, Loss: 0.0371, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 124, Loss: 0.0450, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 125, Loss: 0.1054, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 126, Loss: 0.0322, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 127, Loss: 0.0637, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 128, Loss: 0.0355, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 129, Loss: 0.0703, Val F1: 0.4615, Val Acc: 0.6667, Val Prec: 0.6667, Val Rec: 0.3529
Epoch: 130, Loss: 0.0517, Val F1: 0.4800, Val Acc: 0.6905, Val Prec: 0.7500, Val Rec: 0.3529
Epoch: 131, Loss: 0.0605, Val F1: 0.6207, Val Acc: 0.7381, Val Prec: 0.7500, Val Rec: 0.5294
Epoch: 132, Loss: 0.0458, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 133, Loss: 0.0479, Val F1: 0.6667, Val Acc: 0.7381, Val Prec: 0.6875, Val Rec: 0.6471
Epoch: 134, Loss: 0.0643, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 135, Loss: 0.0488, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 136, Loss: 0.0330, Val F1: 0.4800, Val Acc: 0.6905, Val Prec: 0.7500, Val Rec: 0.3529
Epoch: 137, Loss: 0.0510, Val F1: 0.5185, Val Acc: 0.6905, Val Prec: 0.7000, Val Rec: 0.4118
Epoch: 138, Loss: 0.0492, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 139, Loss: 0.0422, Val F1: 0.6667, Val Acc: 0.7381, Val Prec: 0.6875, Val Rec: 0.6471
Epoch: 140, Loss: 0.0349, Val F1: 0.6667, Val Acc: 0.7381, Val Prec: 0.6875, Val Rec: 0.6471
Epoch: 141, Loss: 0.0556, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 142, Loss: 0.0385, Val F1: 0.6207, Val Acc: 0.7381, Val Prec: 0.7500, Val Rec: 0.5294
Epoch: 143, Loss: 0.0371, Val F1: 0.5385, Val Acc: 0.7143, Val Prec: 0.7778, Val Rec: 0.4118
Epoch: 144, Loss: 0.0460, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 145, Loss: 0.0437, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 146, Loss: 0.0283, Val F1: 0.7500, Val Acc: 0.8095, Val Prec: 0.8000, Val Rec: 0.7059
Epoch: 147, Loss: 0.0366, Val F1: 0.7500, Val Acc: 0.8095, Val Prec: 0.8000, Val Rec: 0.7059
Epoch: 148, Loss: 0.0450, Val F1: 0.7273, Val Acc: 0.7857, Val Prec: 0.7500, Val Rec: 0.7059
Epoch: 149, Loss: 0.0447, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 150, Loss: 0.0240, Val F1: 0.4615, Val Acc: 0.6667, Val Prec: 0.6667, Val Rec: 0.3529
Epoch: 151, Loss: 0.0329, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 152, Loss: 0.0324, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 153, Loss: 0.0239, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 154, Loss: 0.0440, Val F1: 0.6250, Val Acc: 0.7143, Val Prec: 0.6667, Val Rec: 0.5882
Epoch: 155, Loss: 0.0478, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
